"table_name","column_name","data_type"
"mstr_l_sales_rep","tenant_id","bigint"
"mstr_l_sales_rep","org_id","bigint"
"mstr_l_sales_rep","sales_rep_id","bigint"
"mstr_l_sales_rep","sales_supv_id","bigint"
"mstr_l_sales_rep","sales_rep_region_id","bigint"
"mstr_l_sales_rep","is_dirty","boolean"
"mstr_l_sales_supervisor","tenant_id","bigint"
"mstr_l_sales_supervisor","org_id","bigint"
"mstr_l_sales_supervisor","sales_supv_id","bigint"
"mstr_l_sales_supervisor","sales_supv_region_id","bigint"
"mstr_l_sales_supervisor","is_dirty","boolean"
"mstr_l_organization","tenant_id","bigint"
"mstr_l_organization","org_id","bigint"
"mstr_l_organization","org_type_id","bigint"
"mstr_l_organization","org_location_id","bigint"
"mstr_l_organization","org_city_id","bigint"
"mstr_l_organization","org_region_id","bigint"
"mstr_l_organization","org_country_id","bigint"
"mstr_l_organization","opening_date","timestamp without time zone"
"mstr_l_organization","is_dirty","boolean"
"mstr_l_tenant","tenant_id","bigint"
"mstr_scam_f_cust_revenue","f_cust_revenue_id","bigint"
"mstr_scam_f_cust_revenue","tenant_id","bigint"
"mstr_scam_f_cust_revenue","org_id","bigint"
"mstr_scam_f_cust_revenue","bpartner_id","bigint"
"mstr_scam_f_cust_revenue","bp_location_id","bigint"
"mstr_scam_f_cust_revenue","salesregion_id","bigint"
"mstr_scam_f_cust_revenue","sales_rep_id","bigint"
"mstr_scam_f_cust_revenue","prod_id","bigint"
"mstr_scam_f_cust_revenue","invoice_date_id","timestamp without time zone"
"mstr_scam_f_cust_revenue","qty_invoiced","numeric"
"mstr_scam_f_cust_revenue","gross_revenue","numeric"
"mstr_scam_f_cust_revenue","net_revenue","numeric"
"mstr_scam_f_cust_revenue","cost","numeric"
"mstr_scam_f_cust_revenue","net_margin","numeric"
"mstr_scam_f_cust_revenue","is_dirty","boolean"